"t(s)"	"xR(m)"	"yR(m)"	"vR(m/s)"	"N° WP"	"dist WP (m)"	"xCentreCercle(m)"	"yCentreCercle(m)"	"directionWP(rad)"	"xRobot/WP(m)"	"yRobot/WP(m)"	"Rayon(m)"	"capRobot(rad)"	"capCercleIdeal(rad)"	"ecartAngulaire_rad(rad)"	"consV_MDroit(rad/s)"	"consV_MGauche(rad/s)"	"vConsCGrad/s"	"distCurvWP(m)"	"distDecel(m)"
460	0,000313404	0,00990335	0,044	0	1,40701	0,00985735	1	0	-0,999687	-0,990097	-0,990143	0,0652169	1,58044	1,51522	0,434298	65,8057	33,12	0	0
470	0,00034273	0,0103524	0,045	0	1,40667	0,0103023	1	0	-0,999657	-0,989648	-0,989698	0,0681777	1,58086	1,51268	0,444479	67,2355	33,84	0	0
480	0,000374068	0,0108113	0,046	0	1,40632	0,0107568	1	0	-0,999626	-0,989189	-0,989243	0,0712041	1,58129	1,51009	0,45471	68,6653	34,56	0	0
490	0,000407505	0,0112801	0,047	0	1,40597	0,011221	1	0	-0,999592	-0,98872	-0,988779	0,0742963	1,58173	1,50744	0,464995	70,095	35,28	0	0
500	0,000443135	0,0117588	0,048	0	1,40561	0,0116948	1	0	-0,999557	-0,988241	-0,988305	0,0774541	1,58218	1,50473	0,475333	71,5247	36	0	0
510	0,000481049	0,0122473	0,049	0	1,40524	0,0121781	1	0	-0,999519	-0,987753	-0,987822	0,0806777	1,58264	1,50196	0,485727	72,9543	36,72	0	0
520	0,000521345	0,0127457	0,05	0	1,40486	0,012671	1	0	-0,999479	-0,987254	-0,987329	0,083967	01/01/5831	1,49914	0,496178	74,3838	37,44	0	0
530	0,000564117	0,0132539	0,051	0	1,40447	0,0131734	1	0	-0,999436	-0,986746	-0,986827	0,087322	1,58357	1,49625	0,506688	75,8133	38,16	0	0
540	0,000609467	0,0137719	0,052	0	1,40408	0,0136853	1	0	-0,999391	-0,986228	-0,986315	0,0907428	1,58405	1,49331	0,517258	77,2427	38,88	0	0
550	0,000657495	0,0142998	0,053	0	1,40367	0,0142066	1	0	-0,999343	-0,9857	-0,985793	0,0942292	1,58454	1,49031	0,52789	78,6721	39,6	0	0
560	0,000708303	0,0148374	0,054	0	1,40326	0,0147375	1	0	-0,999292	-0,985163	-0,985263	0,0977812	1,58504	1,48725	0,538586	80,1014	40,32	0	0
570	0,000761997	0,0153847	0,055	0	1,40283	0,0152777	1	0	-0,999238	-0,984615	-0,984722	0,101399	1,58554	1,48414	0,549347	81,5307	41,04	0	0
580	0,000818684	0,0159419	0,056	0	01/01/4024	0,0158274	1	0	-0,999181	-0,984058	-0,984173	0,105082	1,58605	1,48096	0,560174	82,9598	41,76	0	0
590	0,00087847	0,0165087	0,057	0	1,40196	0,0163865	1	0	-0,999122	-0,983491	-0,983614	0,108832	1,58656	1,47773	0,571071	84,3889	42,48	0	0
600	0,000941468	0,0170853	0,058	0	1,40151	0,0169548	1	0	-0,999059	-0,982915	-0,983045	0,112646	1,58709	1,47444	0,582038	85,818	43,2	0	0
610	0,00100779	0,0176715	0,059	0	1,40105	0,0175326	1	0	-0,998992	-0,982328	-0,982467	0,116527	1,58762	1,47109	0,593077	87,2469	43,92	0	0
620	0,00107755	0,0182675	0,06	0	1,40059	0,0181196	1	0	-0,998922	-0,981733	-0,98188	0,120473	1,58815	1,46768	0,60419	88,6758	44,64	0	0
630	0,00115086	0,0188731	0,061	0	1,40011	0,0187158	1	0	-0,998849	-0,981127	-0,981284	0,124485	01/01/5887	1,46421	0,615379	90,1046	45,36	0	0
640	0,00122784	0,0194883	0,062	0	1,39962	0,0193213	1	0	-0,998772	-0,980512	-0,980679	0,128562	1,58925	1,46069	0,626647	91,5334	46,08	0	0
650	0,00130861	0,0201131	0,063	0	1,39913	0,019936	1	0	-0,998691	-0,979887	-0,980064	0,132705	01/01/5898	01/01/4571	0,637994	92,962	46,8	0	0
660	0,00139329	0,0207474	0,064	0	1,39862	0,0205599	1	0	-0,998607	-0,979253	-0,97944	0,136914	1,59037	1,45345	0,649423	94,3906	47,52	0	0
670	0,00148201	0,0213913	0,065	0	1,39811	0,0211929	1	0	-0,998518	-0,978609	-0,978807	0,141188	1,59094	1,44975	0,660936	95,8191	48,24	0	0
680	0,00157488	0,0220448	0,066	0	1,39759	0,0218349	1	0	-0,998425	-0,977955	-0,978165	0,145528	1,59151	1,44598	0,672536	97,2475	48,96	0	0
690	0,00167204	0,0227077	0,067	0	1,39705	0,0224861	1	0	-0,998328	-0,977292	-0,977514	0,149933	1,59209	1,44216	0,684223	98,6758	49,68	0	0
700	0,00177362	0,0233801	0,068	0	1,39651	0,0231462	1	0	-0,998226	-0,97662	-0,976854	0,154404	1,59268	1,43827	0,696001	100,104	50,4	0	0
710	0,00187973	0,0240619	0,069	0	1,39596	0,0238154	1	0	-0,99812	-0,975938	-0,976185	0,158941	1,59327	1,43433	0,707872	101,532	51,12	0	0
720	0,00199052	0,024753	0,07	0	01/01/3954	0,0244935	1	0	-0,998009	-0,975247	-0,975507	0,163543	1,59387	1,43032	0,719838	102,96	51,84	0	0
