1610	0.0509159	0.114221	47.7647	47.7647
1620	0.0521191	0.115291	48.361	48.361
1630	0.053341	0.116354	48.9609	48.9609
1640	0.0545817	0.117412	49.5643	49.5643
1650	0.0558411	0.118462	50.1712	50.1712
1660	0.0571195	0.119505	50.7816	50.7816
1670	0.0584167	0.120541	51.3956	51.3956
1680	0.0597329	0.121569	52.013	52.013
1690	0.0610681	0.122588	52.6339	52.6339
1700	0.0624224	0.123599	53.2583	53.2583
1710	0.0637957	0.124601	53.8861	53.8861
1720	0.0651882	0.125594	54.5173	54.5173
1730	0.0665997	0.126577	55.152	55.152
1740	0.0680304	0.127549	55.7901	55.7901
1750	0.0694802	0.128511	56.4315	56.4315
1760	0.0709492	0.129463	57.0764	57.0764
1770	0.0724372	0.130402	57.7246	57.7246
1780	0.0739444	0.131331	58.3761	58.3761
1790	0.0754707	0.132246	59.031	59.031
1800	0.077016	0.13315	59.6891	59.6891
1810	0.0785803	0.13404	60.3506	60.3506
1820	0.0801636	0.134917	61.0152	61.0152
1830	0.0817658	0.135781	61.6831	61.6831
1840	0.0833869	0.13663	62.3542	62.3542
1850	0.0850267	0.137464	63.0284	63.0284
1860	0.0866853	0.138284	63.7058	63.7058
1870	0.0883625	0.139088	64.3862	64.3862
1880	0.0900583	0.139876	65.0697	65.0697
1890	0.0917725	0.140648	65.7562	65.7562
1900	0.093505	0.141403	66.4456	66.4456
1910	0.0952558	0.142142	67.1379	67.1379
1920	0.0970246	0.142862	67.8331	67.8331
1930	0.0988114	0.143565	68.5311	68.5311
1940	0.100616	0.144249	69.2318	69.2318
1950	0.102438	0.144915	69.9351	69.9351
1960	0.104278	0.145561	70.641	70.641
1970	0.106135	0.146188	71.3494	71.3494
1980	0.108009	0.146795	72.0602	72.0602
1990	0.1099	0.147381	72.7732	72.7732
2000	0.111808	0.147947	73.4883	73.4883
2010	0.113733	0.148491	74.2054	74.2054
2020	0.115674	0.149014	74.9244	74.9244
2030	0.117631	0.149515	75.645	75.645
2040	0.119603	0.149993	76.3671	76.3671
2050	0.121592	0.150449	77.0903	77.0903
2060	0.123596	0.150882	77.8145	77.8145
2070	0.125615	0.151291	78.5393	78.5393
2080	0.127648	0.151677	79.2642	79.2642
2090	0.129697	0.152038	79.989	79.989
2100	0.131759	0.152376	80.713	80.713
2110	0.133836	0.152688	81.4355	81.4355
2120	0.135926	0.152976	82.1558	82.1558
2130	0.13803	0.153239	82.8729	82.8729
2140	0.140146	0.153477	83.5855	83.5855
2150	0.142276	0.15369	84.292	84.292
2160	0.144418	0.153878	84.9903	84.9903
2170	0.146571	0.154041	85.6775	85.6775
2180	0.148737	0.154179	86.3497	86.3497
2190	0.150914	0.154293	87.0012	87.0012
2200	0.153102	0.154384	87.6236	87.6236
2210	0.155301	0.154453	88.2034	88.2034
2220	0.157511	0.154502	88.7184	88.7184
2230	0.15973	0.154536	89.1296	89.1296
2240	0.16196	0.15456	89.3672	89.3672
2250	0.1642	0.154586	89.3389	89.3389
2260	0.16645	0.154622	89.0802	89.0802
2270	0.168709	0.15467	88.7919	88.7919
2280	0.170979	0.154727	88.5712	88.5712
2290	0.173258	0.15479	88.4175	88.4175
2300	0.175547	0.154858	88.2976	88.2976
2310	0.177845	0.154931	88.1784	88.1784
2320	0.180154	0.15501	88.0413	88.0413
2330	0.182473	0.155095	87.8851	87.8851
2340	0.184801	0.155188	87.7194	87.7194
2350	0.187139	0.155288	87.5536	87.5536
2360	0.189486	0.155395	87.3923	87.3923
2370	0.191843	0.155509	87.2348	87.2348
2380	0.19421	0.15563	87.0784	87.0784
2390	0.196587	0.155757	86.9209	86.9209
2400	0.198973	0.155892	86.7612	86.7612
2410	0.201369	0.156035	86.5998	86.5998
2420	0.203774	0.156185	86.4373	86.4373
2430	0.206189	0.156342	86.2744	86.2744
2440	0.208613	0.156507	86.1112	86.1112
2450	0.211047	0.156679	85.9476	85.9476
2460	0.213491	0.156859	85.7834	85.7834
2470	0.215944	0.157047	85.6184	85.6184
2480	0.218406	0.157243	85.4527	85.4527
2490	0.220877	0.157447	85.2862	85.2862
2500	0.223358	0.157659	85.119	85.119
2510	0.225849	0.157879	84.9512	84.9512
2520	0.228348	0.158107	84.7827	84.7827
2530	0.230857	0.158343	84.6136	84.6136
2540	0.233375	0.158588	84.4438	84.4438
2550	0.235903	0.158842	84.2733	84.2733
2560	0.238439	0.159104	84.1021	84.1021
2570	0.240985	0.159375	83.9303	83.9303
2580	0.243539	0.159654	83.7577	83.7577
2590	0.246103	0.159942	83.5846	83.5846
2600	0.248676	0.160239	83.4107	83.4107
2610	0.251258	0.160546	83.2361	83.2361
2620	0.253849	0.160861	83.0609	83.0609
2630	0.256449	0.161186	82.885	82.885
2640	0.259058	0.161519	82.7085	82.7085
2650	0.261675	0.161862	82.5312	82.5312
2660	0.264302	0.162215	82.3533	82.3533
